Talanx AG,TLX.F,Frankfurt Stock Exchange,Talanx Aktiengesellschaft (TLX_X),FSE/TLX_X,TNXX F,110781
Symrise AG,SY1.F,Frankfurt Stock Exchange,Symrise Ag (SY1_X),FSE/SY1_X,SYIE Y,126736
Tag Immobilien AG,TEG.F,Frankfurt Stock Exchange,Tag Immobilien Ag (TEG_X),FSE/TEG_X,TAGO F,96087
Wacker Neuson Se,WAC.F,Frankfurt Stock Exchange,Wacker Neuson Se (WAC_X),FSE/WAC_X,WKRC F,126383
Wacker Chemie Ag,WCH.F,Frankfurt Stock Exchange,Wacker Chemie Ag (WCH_X),FSE/WCH_X,WKCM F,127524
Wincor Nixdorf AG,WIN.F,Frankfurt Stock Exchange,Wincor Nixdorf Aktiengesellschaft (WIN_X),FSE/WIN_X,WNXD Y,127265
Wirecard AG,WDI.F,Frankfurt Stock Exchange,Wirecard Ag (WDI_X),FSE/WDI_X,WRCD F,106488
Elringklinger AG,ZIL2.F,Frankfurt Stock Exchange,Elringklinger Ag (ZIL2_X),FSE/ZIL2_X,EGKL F,84832
Zooplus AG,ZO1.F,Frankfurt Stock Exchange,Zooplus Ag (ZO1_X),FSE/ZO1_X,ZLPS F,135033
VTG AG,VT9.F,Frankfurt Stock Exchange,Vtg Aktiengesellschaft (VT9_X),FSE/VT9_X,VTGB F,70193
Hugo Boss AG,BOSS.F,Frankfurt Stock Exchange,Hugo Boss Ag (BOSS_X),FSE/BOSS_X,HUGO_DEU,61173
Sixt Ag,SIX2.F,Frankfurt Stock Exchange,Sixt Se St (SIX2_X),FSE/SIX2_X,SIXG F,70207
Krones Ag,KRN.F,Frankfurt Stock Exchange,Krones Ag (KRN_X),FSE/KRN_X,KRNN F,70295
Gagfah,GFJ.F,Frankfurt Stock Exchange,Gagfah S.a. (GFJ_X),FSE/GFJ_X,GGFH F,131969
Telefonica Deutschland,O2D.F,Frankfurt Stock Exchange,Telefónica Deutschland Holding AG (O2D_X),FSE/O2D_X,TELD F,138591
Kuka AG,KU2.F,Frankfurt Stock Exchange,Kuka Aktiengesellschaft (KU2_X),FSE/KU2_X,KUKA Y,69428
Balda AG,BAF.F,Frankfurt Stock Exchange,Balda Ag (BAF_X),FSE/BAF_X,BAL_DEU,101244
E.on Se,EOAN.F,Frankfurt Stock Exchange,E.on Se (EOAN_X),FSE/EOAN_X,EONG Y,15995
Thyssenkrupp AG,TKA.F,Frankfurt Stock Exchange,Thyssenkrupp Ag (TKA_X),FSE/TKA_X,TKAM Y,97531
Hochtief AG,HOT.F,Frankfurt Stock Exchange,Hochtief Ag (HOT_X),FSE/HOT_X,HOCF Y,41053
Commerzbank AG,CBK.F,Frankfurt Stock Exchange,Commerzbank Ag (CBK_X),FSE/CBK_X,CRZB Y,1934
Tom Tailor Holding,TTI.F,Frankfurt Stock Exchange,Tom Tailor Holding Ag (TTI_X),FSE/TTI_X,TOMT,131383
Bilfinger Se,GBF.F,Frankfurt Stock Exchange,Bilfinger Se (GBF_X),FSE/GBF_X,BFLB Y,69498
Hannover Rueck,HNR1.F,Frankfurt Stock Exchange,Hannover Rück Se (HNR1_X),FSE/HNR1_X,HVRR Y,94026
Centrotec Sustainable AG,CEV.F,Frankfurt Stock Exchange,Centrotec Sustainable Ag (CEV_X),FSE/CEV_X,CTRC F,97907
Adidas AG,ADS.F,Frankfurt Stock Exchange,Adidas Ag (ADS_X),FSE/ADS_X,ADDY Y,90656
Hornbach Holding AG,HBH3.F,Frankfurt Stock Exchange,Hornbach Holding Ag (HBH3_X),FSE/HBH3_X,HORN_DEU,84600
Takkt,TTK.F,Frankfurt Stock Exchange,Takkt Ag (TTK_X),FSE/TTK_X,TAKKT,101985
SGL Group,SGL.F,Frankfurt Stock Exchange,Sgl Carbon Se (SGL_X),FSE/SGL_X,SGLF F,15654
Muenchener Rueck,MUV2.F,Frankfurt Stock Exchange,Münchener Rück Ag (MUV2_X),FSE/MUV2_X,MURG Y,69916
Continental AG,CON.F,Frankfurt Stock Exchange,Continental Ag (CON_X),FSE/CON_X,CTTA Y,55768
Deutsche Lufthansa,LHA.F,Frankfurt Stock Exchange,Deutsche Lufthansa Ag (LHA_X),FSE/LHA_X,DLAK Y,2439
Grammer AG,GMM.F,Frankfurt Stock Exchange,Grammer Ag (GMM_X),FSE/GMM_X,GRA_FSE,101061
